id,name,gender,age,height,weight
5065,Polat Ke,M,25,175,59
5103,Yuliya V,F,32,168,51
5127,Alina Ar,F,32,166,53
5191,Tsanko R,M,24,198,155
5309,Andrs Ar,M,21,177,64
5311,Antonio ,M,22,170,63
5335,Heather ,F,22,170,60
5340,Andreea ,F,27,159,55
5358,Mauricio,M,27,177,68
5378,Natalia ,F,29,178,83
5393,Eleni Ar,F,30,177,62
5431,Skinnar ,M,25,170,74
5443,Marina A,F,28,173,58
5444,Mohammad,M,28,180,77
5475,Nataliya,F,26,177,58
5508,Sabina A,F,30,178,90
5517,Erla sge,F,20,174,
5523,Ronnie A,M,28,188,95
5528,Bradlee ,M,20,200,92
5542,Geraldin,F,20,164,55
5560,Whitney ,F,27,178,91
5561,Nickel A,M,26,183,77
5577,Jessica ,F,23,173,64
5677,Jeanine ,F,23,170,53
5687,Sofia As,F,28,167,52
5688,Tigist A,F,19,168,53
5723,Gloria A,F,31,168,64
5781,Merdan A,M,21,196,80
5783,Sarah At,F,21,180,63
5801,Soule So,M,25,180,75
5808,Teddy H.,M,31,184,77
5817,Alia Sha,F,27,172,71
5835,Mert Atl,M,23,191,70
5848,Sarah Am,F,23,165,52
5853,Ahmad Mo,M,21,,
5886,Hoi Shun,F,24,172,56
5901,Felix Au,M,19,198,85
5933,Franzisk,F,32,173,68
5947,Jordan A,M,21,171,53
5948,Axel Lou,M,25,172,71
5965,Dionisio,M,24,153,65
5967,Jssica d,F,34,162,44
5975,Rafa Aug,M,32,180,82
6050,Bastien ,M,26,195,89
6140,Ekaterin,F,24,180,68
6196,Derlis R,M,26,178,75
6202,Hiwot Ay,F,26,173,53
6204,Almaz Ay,F,24,166,47
6218,Ventsisl,M,25,168,60
6219,Esma Ayd,F,24,160,48
6224,Kelime A,F,31,160,54
6226,Diana Ay,F,20,158,50
6258,Clia Aym,F,22,161,56
6309,Ned Just,M,18,177,65
6311,Ctia Isa,F,22,170,50
6377,Houleye ,F,24,170,55
6385,Nooran A,F,16,166,60
6406,Jaroslav,M,31,199,86
6427,Lalita S,F,27,166,50
6433,Nazim Ta,M,18,187,74
6460,Ivan Ser,M,33,172,69
6579,Axel Eri,M,26,180,82
6608,Adrien B,M,21,178,73
6660,Joel Bad,M,20,190,70
6663,Ahmed Ba,M,20,190,90
6739,Baek Su-,F,25,173,61
6778,Jos Ales,M,35,172,63
6843,Meraf Ba,F,27,176,52
6888,Daniel E,M,29,179,68
6899,Lowell C,M,32,185,77
6911,Tavis Ba,M,24,191,125
6912,Kemar Ba,M,24,193,84
6966,Martin B,M,37,169,70
6969,Balzs Ba,M,27,192,85
7014,Christop,M,25,194,80
7020,Kathleen,F,19,173,68
7048,Amina Ba,F,25,175,59
7133,Dmitry I,M,21,195,85
7187,Egl Bali,F,27,176,63
7226,Hugo Bal,M,29,187,74
7246,Birhanu ,M,20,,
7347,Coralie ,F,29,180,67
7348,Michal B,M,33,191,80
7354,Gbor Bal,M,25,186,80
7379,Bernardo,M,22,168,66
7387,Ksenija ,F,29,169,51
7433,Emily Ba,F,21,169,64
7435,Margaret,F,22,171,63
7439,Abdoulla,M,30,170,59
7464,Salom Bn,F,20,,
7475,Haris Ba,M,17,167,79
7532,Konstant,M,29,201,80
7536,Ondej Ba,M,33,175,85
7593,Ivan Myk,M,26,180,70
7604,Kelly-An,F,29,167,54
7608,Khader G,M,17,184,80
7609,Talita B,F,20,172,62
7640,Noelle B,F,23,171,65
7678,Katarzyn,F,28,184,72
7707,Azad Al-,M,28,195,85
7715,Anthony ,M,23,201,100
7728,Alana Ba,F,29,163,52
7740,Shawnacy,M,22,187,82
7769,Jade Fer,F,25,151,45
7775,Vera Lci,F,27,168,58
7778,Alexandr,M,26,177,70
7810,Virginia,F,24,174,57
7952,Emre Zaf,M,27,178,73
7962,Lanny L.,F,31,163,50
7989,Tarasue ,F,22,178,81
8036,Thomas B,M,24,183,73
8051,Bronte A,F,27,171,59
8114,Francisc,M,26,175,72
8128,Jennifer,F,29,166,53
8152,Erick Be,M,25,178,60
8198,Trevor G,M,33,190,77
8204,Mutaz Es,M,25,190,65
8274,Anne-Sop,F,25,170,71
8380,Adam Bar,M,21,185,82
8417,Dimitri ,M,29,181,80
8475,Gina Bas,F,21,,
8526,Bat-Ochi,M,34,169,61
8606,Batsaikh,M,29,179,72
8661,Martin B,M,21,182,74
8668,Adeline ,F,21,162,56
8709,Klemen B,M,28,183,72
8712,Luk Baue,M,36,181,73
8750,Ashton B,M,23,191,74
8751,Christia,M,21,163,60
8764,Jackie B,F,20,173,58
8767,Jonas Ba,M,23,175,71
8771,Romed Ba,M,28,184,91
8775,Anne Sof,F,28,168,54
8785,Iga Baum,F,27,178,58
8803,Simona B,F,24,176,68
8877,Bayartso,F,22,160,43
8878,Bayaryn ,F,16,176,61
8945,Hamdan I,M,21,182,64
8979,Lorne Do,F,33,170,60
9048,Jean-Gui,M,25,172,
9099,"Joshua """,M,23,175,70
9176,Leonie A,F,19,184,62
9244,Kierre B,F,26,169,54
9279,Mariya A,F,21,170,70
9285,Alex Bed,M,21,181,74
9310,Sylweste,M,27,194,78
9392,Kieran P,M,27,163,65
9460,Elizabet,F,23,168,68
9464,Ruth Bei,F,37,191,72
9486,Alemu Be,M,26,162,59
9497,Maryna O,F,21,174,62
9537,Teja Bel,F,22,157,48
9549,Yekateri,F,24,173,64
9582,Mimi Bel,F,28,169,56
9583,Yehualey,F,18,165,52
9589,Mohammed,M,25,175,65
9603,Maria Be,F,25,175,64
9635,Florence,F,17,156,59
9677,Tia-Adan,F,20,178,59
9692,Janeil B,F,27,163,59
9697,Phillip ,M,22,185,84
9749,Dailn Be,F,30,158,52
9750,Mireia B,F,25,170,59
9753,Wilhem B,M,21,178,78
9773,Marco Be,M,27,185,76
9785,Yevgeny ,M,23,185,78
9829,David Sa,M,24,165,55
9931,Amor Ben,M,31,175,63
9953,Christop,M,26,191,84
9994,Martin B,M,20,187,95
10017,Giordano,M,27,189,67
10059,Angelica,F,23,163,52
10101,Aleksi B,M,22,184,80
10162,Christop,M,26,188,115
10217,Craig Ha,M,22,183,80
10257,"Joseph """,M,20,196,84
10324,Anna Ber,F,25,174,73
10351,Katarna ,F,28,162,49
10467,Tora Ber,F,32,166,56
10511,Carl Joh,M,35,174,69
10582,Lemi Ber,M,21,168,53
10585,Boris Be,M,23,183,70
10691,Maria Be,F,23,165,53
10737,Pter Ber,M,24,193,83
10802,Gwen Ber,F,27,175,89
10900,Catherin,F,44,160,45
10924,Marion B,F,29,163,58
10962,Anas Bes,F,26,170,67
10969,Anas Bes,M,23,,
10980,Jules Ya,M,37,183,85
10994,Aleksand,M,27,182,78
11006,Jahvid A,M,27,178,90
11055,Nicholas,M,26,190,75
11065,Amina Be,F,28,165,55
11106,Brinn Jo,M,19,165,62
11151,Chala Be,M,20,176,58
11181,Luke Bez,M,21,,
11203,Saraswat,F,22,163,46
11238,Bian Ka,F,23,182,115
11254,Ilaria B,F,26,170,65
11295,Olha Ana,F,26,178,64
11351,Paul Bie,M,29,193,93
11364,Yiech Pu,M,21,178,62
11495,Simone A,F,19,143,47
11510,Simonas ,M,22,196,84
11516,Cindy Bi,F,30,167,59
11538,Mathieu ,M,32,185,74
11610,Thomas B,M,23,177,70
11611,Wilfried,M,31,172,80
11615,Khamica ,F,22,160,61
11673,Dane Ale,M,24,187,72
11677,Svar Bir,M,25,175,
11699,Damien B,M,23,190,140
11705,Jorge Fr,M,23,,
11715,Andreas ,M,32,179,72
11787,Melissa ,F,27,173,56
11866,Stanley ,M,30,152,61
11929,Erik Bjo,M,22,185,84
11930,Sadie Bj,F,24,175,66
11943,Marit Bj,F,33,168,64
11951,Ole Eina,M,40,178,65
11954,Susann J,F,23,182,72
11978,Elsabeth,F,20,155,56
12086,Yohan Bl,M,26,180,80
12164,Benjamin,M,27,178,64
12225,Marko Bl,M,23,183,73
12233,Holly Be,F,24,175,67
12244,Keston B,M,28,180,88
12305,Jason Bl,M,26,182,82
12378,Olga Yev,F,24,171,62
12399,Pernille,F,22,170,58
12410,Jennifer,F,22,163,49
12435,Adrian B,M,26,174,62
12486,Claudia ,F,24,176,53
12487,Ancua Bo,F,28,167,49
12516,Federico,M,29,197,93
12558,Solomon ,M,29,171,72
12566,Claudio ,M,29,179,76
12599,Lauren B,F,28,178,66
12646,Ihor Val,M,29,184,77
12662,Melissa ,F,27,176,87
12701,Alexis B,M,27,172,62
12747,Anastasi,F,23,174,57
12808,Georgia ,F,19,167,54
12813,Stefanie,F,32,170,54
12820,Daniel B,M,27,178,72
12846,Richrd B,M,23,187,81
12909,Aauri Lo,F,27,180,62
12925,Peter Bo,M,22,177,63
12956,Boldyn B,M,22,170,66
12972,Cynthia ,F,23,165,53
12997,Marine B,F,26,163,52
13029,Usain St,M,29,196,95
13130,Artyom Y,M,25,187,78
13131,Bohdan V,M,26,198,77
13165,Seraina ,F,31,168,55
13173,Liemarvi,M,27,185,74
13182,Caio Oli,M,25,174,60
13183,Celma da,F,38,165,58
13213,Magaly B,F,24,152,54
13240,Daisuram,F,28,171,60
13251,Charlott,F,21,175,64
13379,Hillary ,M,26,168,52
13437,Cleopatr,F,37,172,89
13445,Pavel Ge,M,25,193,120
13496,Konstant,M,26,191,87
13541,Dylan Bo,M,23,190,78
13543,Jonathan,M,28,180,69
13544,Kvin Bor,M,28,180,67
13545,Olivia B,F,30,172,57
13549,Brittany,F,27,183,77
13716,Dylan Bo,M,23,178,75
13754,Vanessa ,F,34,170,57
13770,Pierre-A,M,24,185,68
13791,Teona Bo,F,18,159,48
13805,Thomas S,M,26,178,54
13855,Christin,F,20,170,65
13883,Esther B,F,30,167,58
13923,Dominiqu,F,25,175,61
13947,Hicham B,M,27,182,64
13981,Marcelle,F,23,166,60
13985,Farah Bo,F,17,155,55
14022,Kawtar B,F,26,159,45
14077,Soufiyan,M,22,173,54
14105,Lorys Bo,M,24,184,69
14119,Mohamed ,M,19,164,50
14143,Larbi Bo,M,28,188,88
14159,Frdric T,M,35,188,86
14227,George R,M,33,196,74
14266,Frentori,F,25,175,58
14316,Brendan ,M,29,183,76
14325,Alana Bo,F,32,171,59
14359,Marine C,F,16,162,52
14373,Lauren M,F,28,183,67
14434,Johannes,M,20,187,80
14435,Tarjei B,M,25,185,77
14479,Patrick ,M,22,184,82
14489,Marvin B,M,22,175,78
14547,Pablo Do,M,23,169,64
14599,Mario Al,M,26,168,64
14645,David Ka,M,29,187,82
14655,Eirik Br,M,27,181,
14666,Dorothea,F,32,178,70
14687,"Nathan """,M,33,174,58
14768,Pieter B,M,23,186,83
14786,Albert I,M,28,199,88
14810,Thiago B,M,22,183,75
14865,Melissa ,F,25,174,65
14908,Nils Bre,M,23,184,70
14940,Nery Ant,M,30,175,70
14983,Andreas ,M,26,167,60
15000,Marine G,F,21,162,52
15104,Federica,F,23,168,57
15107,Sebastia,M,21,181,81
15179,Stefan B,M,24,183,72
15192,Fionnual,F,31,159,46
15210,Sarah Br,F,20,177,64
15220,Elisa Br,F,29,162,51
15299,Nadine M,F,26,171,62
15325,Trayvon ,M,21,175,70
15326,Viktor B,M,23,194,87
15374,Christop,M,29,173,75
15382,Holly Br,F,31,168,61
15460,Aaron Br,M,24,198,79
15464,Alicia B,F,26,165,57
15488,Christop,M,37,178,75
15507,Devon My,M,24,188,80
15550,Ashani K,M,24,182,85
15570,"Philip """,M,22,182,87
15671,"Lucas ""L",M,25,183,69
15710,Annika B,F,23,183,69
15717,Henricho,M,23,179,72
15729,Ese Brum,F,20,167,58
15771,Marie La,F,25,166,52
15788,Rachele ,F,25,170,59
15823,Federico,M,23,185,66
15885,Aleksey ,M,18,192,82
15932,Yelyzave,F,26,173,63
